external_id,baslik,Karar,Gerekce,mevcut_kategori,oneri_kategori,knn_oneri,oncelik,risk_skoru,glosh_skoru,hdbscan_kume,knn_baskinlik,tam_kategori_yollari,oneri_yol,label_sim_fark,knn_impurity,ortak_agac_derinligi,supheli_mi
1403252,Türkiye’de Ayakkabı İmalatı Sektöründe Kümelenme: Mekansal Dağılım Üzerine Bir İnceleme,TP-2,Ekonomik coğrafya ve imalat/tekstil sektörel analizi melez çalışmasıdır; disiplinlerarası etiketlenmelidir.,Coğrafya,"Malzeme Bilimleri, Tekstil",Malzeme Bilimleri,KRİTİK (Farklı Ana Disiplin),0.6958212080603536,0.9377013576053363,-1,0.4,Sosyal > Sosyal > Coğrafya,"Fen > Mühendislik > Malzeme Bilimleri, Tekstil",0.1754167675971985,1.0,0,1
1387357,"De Nunzio Nomogramı, Semirigid Üreteroskopi Sonrası Taşsızlık Oranlarını Güvenilir Şekilde Öngörebilir mi? Retrospektif Bir Eksternal Validasyon Çalışması",TP-1,"Bariz veri girişi hatası: Üroloji cerrahisi ve böbrek taşı makalesi sisteme ""Arkeoloji"" olarak girilmiş, model doğru disipline (Tıp/Cerrahi) çekmiştir.",Arkeoloji,"Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme",Cerrahi,KRİTİK (Farklı Ana Disiplin),0.6943043093294754,0.7465259712580261,-1,0.3,Sosyal > Sosyal > Arkeoloji,"Fen > Tıp > Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme",0.3076366186141968,1.0,0,1
1278959,FAZLA KİLOLU BİREYLERDE UYKU KALİTESİ VE YAŞAM DOYUMUNUN FİZYOLOJİK DEĞİŞKENLER AÇISINDAN İNCELENMESİ,TP-2,Obezite/kilo kontrolü ve uyku fizyolojisi analizi olup Beslenme ve Diyetetik ikincil etiket olarak uygundur.,"Fizyoloji, Psikiyatri",Beslenme ve Diyetetik,Beslenme ve Diyetetik,KRİTİK (Farklı Ana Disiplin),0.6908214461947404,0.8937201816419453,-1,0.4,Fen > Tıp > Fizyoloji | Fen > Tıp > Psikiyatri,Sosyal > Sosyal > Beslenme ve Diyetetik,0.192546859383583,1.0,0,1
1387804,Seeds of natural plants for surface water treatment: An alternative sustainable approach for developing countries,TP-2,"Nehir yüzey sularının arıtılması amacıyla Moringa stenopetala ve Cadaba farinosa tohumlarının doğal koagülant ve dezenfektan olarak kullanıldığı, bulanıklık giderimi (%73.3) ve E. coli inaktivasyon parametrelerinin incelendiği doğrudan bir su arıtma teknolojisi, çevre mühendisliği ve su kalitesi yönetimi melez araştırmasıdır; mevcut 'Çevre Mühendisliği' ana disiplini korunmalı ve yüzey suyu kalitesi ve su kaynakları yönetimi boyutu için modelin ve k-NN yerel uzlaşısının isabetle önerdiği Su Kaynakları alanı ikincil etiket olarak eklenmelidir (TP-2 melez çalışma).",Çevre Mühendisliği,Su Kaynakları,Su Kaynakları,YÜKSEK (Farklı Alt Alan),0.6847413052712021,0.8918523389475099,-1,0.3,Fen > Mühendislik > Çevre Mühendisliği,Fen > Temel Bilimler > Su Kaynakları,0.1765092015266418,1.0,1,1
1394532,"Tritikale'de genotip, özellik ve genotip verim, özellik kombinasyonlarının biplot yöntemi kullanılarak çeşitlerin çevreye adaptasyonunun belirlenmesi",TP-2,"Tritikale ıslah programında farklı genotiplerin çoklu lokasyon ve sezonlarda GT ve GYT biplot analizleri kullanılarak verim, agronomik özellikler ve çevreye adaptasyon/genotip-çevre etkileşiminin incelendiği doğrudan bir tarla bitkileri, bitki ıslahı ve kantitatif genetik melez araştırmasıdır; mevcut 'Bitki Bilimleri, Ziraat Mühendisliği' omurgası korunmalı ve genotipik varyasyon ile ıslah genetiği boyutu için modelin ve k-NN yerel uzlaşısının (%50) isabetle önerdiği Genetik ve Kalıtım alanı ikincil etiket olarak eklenmelidir (TP-2 melez çalışma).","Bitki Bilimleri, Ziraat Mühendisliği",Genetik ve Kalıtım,Genetik ve Kalıtım,YÜKSEK (Farklı Alt Alan),0.6748709468825456,0.8713775987560735,-1,0.5,Fen > Ziraat > Bitki Bilimleri | Fen > Ziraat > Ziraat Mühendisliği,Fen > Temel Bilimler > Genetik ve Kalıtım,0.1629329919815063,1.0,1,1
1333454,Akış Destekli Manyetik Rezonans Görüntüleme (Mrg) Ve Nmr Relaksometrenin Gıdalarda In Vitro Sindirim İzleme Aracı Olarak Kullanılması,TP-1,"Hidrokolloidler (ksantan, ayva çekirdeği müsilajı vb.) ve protein izolatları ile hazırlanan Pickering gıda emülsiyonlarının in vitro gastrointestinal sindirim davranışının akış destekli MRG, TD-NMR relaksometri, FTIR ve konfokal mikroskopi ile incelendiği doğrudan bir gıda bilimi, gıda teknolojisi ve gıda reolojisi araştırmasıdır; mevcut kategorideki 'Fotoğraf Teknolojisi, Matematik' etiketleri çöp veridir. Çalışmada klinik/tıbbi hasta verisi bulunmayıp in vitro gıda simülasyonu yapıldığından modelin 'Gastroenteroloji ve Hepatoloji' önerisi model yanılgısıdır (FP-1). Makale gerçek alanı olan Gıda Bilimi ve Teknolojisi ana disiplinine aktarılmalıdır (TP-1 kategori değişimi).","Görüntüleme Bilimi ve Fotoğraf Teknolojisi, Matematik, Mikroskopi",Gastroenteroloji ve Hepatoloji,Gastroenteroloji ve Hepatoloji,YÜKSEK (Farklı Alt Alan),0.6739529567122003,0.9563846954343878,-1,0.3,Fen > Mühendislik > Görüntüleme Bilimi ve Fotoğraf Teknolojisi | Fen > Temel Bilimler > Matematik | Fen > Temel Bilimler > Mikroskopi,Fen > Tıp > Gastroenteroloji ve Hepatoloji,0.0995908081531524,1.0,1,1
1406206,Yabancı Unsurlu Nüfus Kayıt Düzeltme Davalarında DNA İncelemesi ve Feth-i Kabir: Hâkimin Takdirinin Sınırları ve Alternatif Bilimsel Yöntemler,TP-2,Hukuki soybağı davalarında adli tıp ve genetik delil kullanımının disiplinlerarası hukuki-tıbbi analizidir.,Hukuk,Genetik ve Kalıtım,Adli Tıp,KRİTİK (Farklı Ana Disiplin),0.6739496786310272,0.8851442865188902,-1,0.4,Sosyal > Sosyal > Hukuk,Fen > Temel Bilimler > Genetik ve Kalıtım,0.2647531628608703,0.9,0,1
1235577,Bilim Kurgu Edebiyatı ve Sinemasında Zaman-Mekân Kavramları: Değiştirilmiş Karbon [Altered Carbon],TP-2,"Siberpunk türündeki Değiştirilmiş Karbon (Altered Carbon) romanı ve dizi uyarlaması üzerinden edebi mekânın görsel mekâna dönüşümü, sinema, edebiyat ve mimarlık etkileşiminde mekânsal analizlerin yapıldığı disiplinlerarası bir mimarlık ve edebiyat eleştirisi araştırmasıdır; mevcut kategorideki 'Astronomi ve Astrofizik' etiketi çöp veridir. Modelin 'Bilgisayar Bilimleri, Donanım ve Mimari' önerisi mekânsal mimarlık kavramını bilgisayar donanım mimarisi sanan bariz bir model yanılgısıdır (FP-1). Mevcut 'Beşeri Bilimler, Edebi Teori ve Eleştiri' korunmalı, çöp etiket temizlenmeli ve k-NN yerel uzlaşısının (%60) tam isabetle belirlediği Mimarlık alanı ikincil etiket olarak eklenmelidir (TP-2 melez çalışma ve etiket düzeltme).","Astronomi ve Astrofizik, Beşeri Bilimler, Edebi Teori ve Eleştiri","Bilgisayar Bilimleri, Donanım ve Mimari",Mimarlık,YÜKSEK (Farklı Alt Alan),0.6727661593041614,0.9234834902611552,-1,0.6,Fen > Temel Bilimler > Astronomi ve Astrofizik | Sosyal > Sosyal > Beşeri Bilimler | Sosyal > Sosyal > Edebi Teori ve Eleştiri,"Fen > Mühendislik > Bilgisayar Bilimleri, Donanım ve Mimari",0.1197008192539215,1.0,1,1
1383363,"ÇİVİT MAVİSİNİN ÖZELLİKLERİ, YAĞLI BOYA RESİMLERDE KULLANIMI VE BOZULMASININ İNCELENMESİ",TP-2,Yağlı boya pigmentlerinin kimyasal ve fiziksel bozulma analizi; Sanat/Arkeoloji ile Malzeme Bilimleri kesişimidir.,"Arkeoloji, Sanat","Malzeme Bilimleri, Kâğıt ve Ahşap",Malzeme Bilimleri,KRİTİK (Farklı Ana Disiplin),0.6725322078080788,0.7982894163973389,-1,0.8,Sosyal > Sosyal > Arkeoloji | Sosyal > Sosyal > Sanat,"Fen > Mühendislik > Malzeme Bilimleri, Kâğıt ve Ahşap",0.2084567248821258,1.0,0,1
1395166,GAZİANTEP İLİ NURDAĞI İLÇESİ KÖMÜRLER’DE TESPİT EDİLEN PALAS DOKUMALAR,TP-2,Geleneksel düz dokuma yaygıların teknik ve motif analizi; Folklor ile Tekstil/Malzeme kesişimidir.,Folklor,"Malzeme Bilimleri, Tekstil",Malzeme Bilimleri,KRİTİK (Farklı Ana Disiplin),0.6712087256944966,0.7908897667077351,-1,0.6,Sosyal > Sosyal > Folklor,"Fen > Mühendislik > Malzeme Bilimleri, Tekstil",0.3242465257644653,0.9,0,1
1405627,Farklı Üretim Yöntemleri ve Anodizasyon Parametrelerinin Rezin Siman-Titanyum Bağlantısına Etkisi: Bir in Vitro Çalışma,FP-1,"Protetik diş tedavisinde kullanılan titanyum materyallerin farklı üretim yöntemleri (frezeleme vs. selektif lazer eritme) ve yüzey modifikasyonlarının (alümina kumlama, fosforik asit anodizasyonu) termal siklus sonrasında rezin siman bağlanma dayanımı ve klinik tutuculuğu üzerindeki etkilerinin incelendiği doğrudan bir protetik diş tedavisi ve dental materyal araştırmasıdır; çalışmada genel metalürji mühendisliği prosesi bulunmayıp dental protez simantasyon performansı test edilmiştir. Modelin 'Metalürji Mühendisliği' önerisi dental protetik altyapı işlemlerini metalürji sanan bir model yanılgısıdır (FP-1). Mevcut 'Diş Hekimliği' ana disiplini tam, eksiksiz ve doğrudur.",Diş Hekimliği,Metalürji Mühendisliği,Malzeme Bilimleri,YÜKSEK (Farklı Alt Alan),0.6706701397571182,0.7648398493421931,-1,0.6,Fen > Diş Hekimliği > Diş Hekimliği,Fen > Mühendislik > Metalürji Mühendisliği,0.3413147926330566,0.9,1,1
1397945,M1 POLARİZE MAKROFAJ FARKLILAŞMASINDA GÜNCEL TEKNİKLER: KAVRAMSAL ÇERÇEVE ENTEGRASYONU İLE KARŞILAŞTIRMALI DENEYSEL ÇALIŞMA,FP-1,"U937 monositik hücre hattının PMA, LPS ve IFN-gama indüksiyonu ile M1 polarize makrofajlara farklılaşma protokollerinin karşılaştırıldığı ve CD68/CD206 yüzey belirteçlerinin akım sitometrisi (flow cytometry) ile fenotipik olarak analiz edildiği doğrudan bir hücresel immünoloji ve hücre biyolojisi araştırmasıdır; çalışmada mikroskopi geliştirme veya optik enstrümantasyon bulunmayıp modelin 'Mikroskopi' önerisi bir analiz aracı model yanılgısıdır (FP-1). Mevcut 'Hücre Biyolojisi, İmmünoloji' kategorizasyonu tam, eksiksiz ve %100 doğrudur.","Hücre Biyolojisi, İmmünoloji",Mikroskopi,Mühendislik,YÜKSEK (Farklı Alt Alan),0.6704105657148518,0.938067965431276,-1,0.4,Fen > Tıp > Hücre Biyolojisi | Fen > Tıp > İmmünoloji,Fen > Temel Bilimler > Mikroskopi,0.1025530695915222,1.0,1,1
1392709,Zehirli sofralar: Tehlikeli tatlara gastronomik bir bakış,TP-2,Gıdalardaki doğal ve yapay toksinlerin sağlık riskleri analizi; Gastronomi/Beslenme yanına Toksikoloji eklenmelidir.,"Antropoloji, Beslenme ve Diyetetik, Folklor",Toksikoloji,Toksikoloji,KRİTİK (Farklı Ana Disiplin),0.6692648692363472,0.8643144541716463,-1,0.5,Sosyal > Sosyal > Antropoloji | Sosyal > Sosyal > Beslenme ve Diyetetik | Sosyal > Sosyal > Folklor,Fen > Eczacılık > Toksikoloji,0.1519607305526733,1.0,0,1
1388561,Illegal and Original Toxin Discrimination with the Help of Wood’s Light,TP-1,Dermatolojide botulinum toksini (botoks) orijinalliği ve toksin güvenliği analizi; Adli Tıp etiketi kelime tuzağıdır (Toksikoloji doğru).,Adli Tıp,Toksikoloji,Toksikoloji,YÜKSEK (Farklı Alt Alan),0.6678203540165124,0.9317682191208594,-1,0.4,Fen > Tıp > Adli Tıp,Fen > Eczacılık > Toksikoloji,0.2139379978179931,0.9,1,1
1403660,Kendinden Asitli Primer ve Hidroflorik Asidin Kombine Uygulamasının Rezin Siman ve Polimer İnfiltre Seramik Ağ Materyali Arasındaki Mikrogerilim Bağlanma Dayanımına Etkisi,FP-1,"Restoratif/protetik diş hekimliğinde kullanılan hibrit polimer infiltre seramik ağ (PICN) materyali ile rezin siman arasındaki mikrogerilim bağlanma dayanımının (μTBS), yüzey pürüzlülüğünün (Ra) ve termal siklus yaşlandırma davranışının incelendiği doğrudan bir protetik/restoratif diş hekimliği ve dental materyal araştırmasıdır; çalışmada polimer sentezi veya makromoleküler polimer mühendisliği bulunmayıp hazır dental CAD/CAM bloklarının adeziv simantasyon performansı test edilmiştir. Modelin 'Polimer Bilimi' önerisi dental rezin/polimer terimlerinden kaynaklanan klasik bir model yanılgısıdır (FP-1). Mevcut 'Diş Hekimliği' ana disiplini tam, eksiksiz ve doğrudur.",Diş Hekimliği,Polimer Bilimi,Malzeme Bilimleri,YÜKSEK (Farklı Alt Alan),0.6665476337283582,0.7822868920205952,-1,0.4,Fen > Diş Hekimliği > Diş Hekimliği,Fen > Mühendislik > Polimer Bilimi,0.3170740306377411,0.9,1,1
1433874,"Kuzu Pnömonilerinde Respiratorik Sinsityal Virus (Rsv) İle Parainfluenza Tip 3 Virus (Pi3v) Koenfeksiyonlarının Tespiti Ve Cd3+, Cd4+, Cd8+, Cd19+ Lenfositlerin İmmunopatogenezde Rolleri",FP-1,"Kuzularda (4-12 aylık 100 kuzu akciğeri) RSV ve PI3V viral pnömoni koenfeksiyonlarının PCR, immünohistokimya (IHC) ve histopatoloji (HE) ile tespiti ve CD3+, CD4+, CD8+, CD19+ lenfosit alt gruplarının immünopatogenezdeki rollerinin incelendiği doğrudan bir veteriner patoloji, veteriner viroloji ve veteriner immünoloji araştırmasıdır; çalışmada beşeri/insan klinik tıp verisi bulunmayıp modelin 'Enfeksiyon Hastalıkları' (Tıp) önerisi beşeri tıp alanından kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Veterinerlik' ana disiplini tam, eksiksiz ve %100 doğrudur (k-NN yerel uzlaşısı da %40 Viroloji yönündedir).",Veterinerlik,Enfeksiyon Hastalıkları,Viroloji,YÜKSEK (Farklı Alt Alan),0.6655210254604268,0.9221235481956194,-1,0.4,Fen > Veterinerlik > Veterinerlik,Fen > Tıp > Enfeksiyon Hastalıkları,0.214257538318634,0.9,1,1
1388449,"Simultaneous determination and variability over time of Cr, Cu, Zn, As, Se, Sr, Cd, Sb, Hg, Tl, Pb concentrations in fingernail samples by ICP-MS method",FP-1,Tırnak örneklerinde ICP-MS ile ağır metal ve adli maruziyet tayinidir; model keratinize doku analizini hatalı şekilde Diş Hekimliği olarak sınıflandırmıştır (Adli Toksikoloji/Analitik Kimya konusudur).,"Toksikoloji, Adli Tıp",Diş Hekimliği,Diş Hekimliği,YÜKSEK (Farklı Alt Alan),0.6649804363341403,0.9260147043829248,-1,0.5,Fen > Eczacılık > Toksikoloji | Fen > Tıp > Adli Tıp,Fen > Diş Hekimliği > Diş Hekimliği,0.0956478863954544,1.0,1,1
1364871,Agramatik Broca afazisinde fiil üretimi eğitiminin sistematik bir incelemesi,FP-1,"Agramatik Broca afazisi olan bireylerde fiil hatırlama ve fiil çekimi eğitimlerinin isimlendirme doğruluğu, cümle üretimi ve genelleme üzerindeki etkilerinin PRISMA 2020 kılavuzuna göre incelendiği doğrudan bir kliniki nöroloji, dil ve konuşma bozuklukları patolojisi ve nörolinguistik araştırmasıdır; sistemin ve modelin önerdiği 'Bahçe Bitkileri' ve 'Tarımsal Ekonomi' etiketleri tamamen absürt sistemsel çöp verilerdir (FP-1). Mevcut 'Klinik Nöroloji, Odyoloji ve Konuşma-Dil Patolojisi, Psikiyatri' ana kategorisi tam, eksiksiz ve %100 doğrudur.","Klinik Nöroloji, Odyoloji ve Konuşma-Dil Patolojisi, Psikiyatri",Bahçe Bitkileri,Tarımsal Ekonomi ve Politika,YÜKSEK (Farklı Alt Alan),0.6606259620443782,0.8714216197553476,-1,0.4,Fen > Tıp > Klinik Nöroloji | Fen > Tıp > Odyoloji ve Konuşma-Dil Patolojisi | Fen > Tıp > Psikiyatri,Fen > Ziraat > Bahçe Bitkileri,0.1222015917301178,1.0,1,1
1387808,"Lawsonia inermis (Henna) extracts as a sustainable solution to combat multidrug-resistant gram-negative bacteria in surface water, sewage, and abattoir leachate: A quantitative antimicrobial analysis",TP-2,"Yüzey suyu, kanalizasyon ve mezbaha atıksularından elde edilen çoklu ilaç dirençli (MDR) gram-negatif bakterilere karşı Lawsonia inermis (kına) ekstraktlarının (metanol/sulu) antimikrobiyal aktivitesinin, MIC ve MBC değerlerinin incelendiği doğrudan bir çevre mühendisliği ve uygulamalı mikrobiyoloji melez araştırmasıdır; mevcut 'Çevre Mühendisliği' omurgası korunmalı ve bitkisel antimikrobiyal ajanlar ile mikrobiyal dirençle mücadele boyutu için modelin isabetle önerdiği Biyoteknoloji ve Uygulamalı Mikrobiyoloji alanı ikincil etiket olarak eklenmelidir (TP-2 melez çalışma).",Çevre Mühendisliği,Biyoteknoloji ve Uygulamalı Mikrobiyoloji,Farmakoloji ve Eczacılık,YÜKSEK (Farklı Alt Alan),0.6580393808756724,0.557913107742649,269,0.4,Fen > Mühendislik > Çevre Mühendisliği,Fen > Tıp > Biyoteknoloji ve Uygulamalı Mikrobiyoloji,0.3387460112571716,1.0,1,1
1366967,The Effect of Purple Carrot Powder on the Microbiological and Physicochemical Properties of Vacuum-Packed Meatballs During Storage (4°C),TP-1,"Vakumlu ambalajda 4°C'de depolanan köftelere mor havuç tozu (MHT) ilavesinin mikrobiyolojik sayımlar (TAMB, maya-küf, S. aureus), TBARS oksidasyon, pH, renk ve toplam fenolik/antioksidan özellikleri üzerine etkisinin incelendiği doğrudan bir gıda bilimi, et teknolojisi ve gıda mikrobiyolojisi araştırmasıdır; mevcut kategorideki 'Ziraat, Toprak Bilimi' etiketi yanlıştır. Makale k-NN yerel uzlaşısının (%70) isabetle belirlediği Gıda Bilimi ve Teknolojisi ana disiplinine aktarılmalı ve mikrobiyolojik analiz boyutu için modelin önerdiği Biyoteknoloji ve Uygulamalı Mikrobiyoloji alanı eklenmelidir (TP-1 kategori değişimi).","Ziraat, Toprak Bilimi",Biyoteknoloji ve Uygulamalı Mikrobiyoloji,Gıda Bilimi ve Teknolojisi,YÜKSEK (Farklı Alt Alan),0.6572561618766986,0.8644155937758294,-1,0.7,"Fen > Ziraat > Ziraat, Toprak Bilimi",Fen > Tıp > Biyoteknoloji ve Uygulamalı Mikrobiyoloji,0.1175778955221176,1.0,1,1
1454381,KAPADOKYA KIRSALINDA BİR YERLEŞİM MONOGRAFİSİ: GÖRE BELDESİ’NİN MİMARİ VE KÜLTÜREL MİRASI,FP-1,"Kapadokya Göre beldesinin geleneksel kırsal mimarisi, kaya oyma/yığma yapı teknikleri ve mimari belgelemesidir; modelin 'Ziraat, Toprak Bilimi' önerisi metindeki 'kırsal zirai yapılar/ambar' ve 'volkanik tüf/topoğrafya' ifadelerinden kaynaklanan hatalı bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut Mimarlık etiketi tam ve doğrudur.",Mimarlık,"Ziraat, Toprak Bilimi",Mühendislik,YÜKSEK (Farklı Alt Alan),0.6560502410552498,0.7680393936719876,156,0.4,Fen > Mühendislik > Mimarlık,"Fen > Ziraat > Ziraat, Toprak Bilimi",0.1829725503921508,1.0,1,1
