embedding_row,external_id,doi,language,title
16,1232065,10.59313/jsr-a.1380672,ENG,Determination of the species boundaries of genus Dolerus  (Hymenoptera: Tenthredinidae) using the COI gene
17,1232395,10.17216/limnofish.1327644,TUR,Keban Baraj Gölü ve Hazar Gölü'nde Toksik Mavi-Yeşil Alg Çoğalmaları
18,1232397,10.17216/limnofish.1272399,TUR,Probiyotiğin Dreissena polymorpha'da Bakır Nanopartikül Birikimi Üzerine Etkisi
19,1232595,10.24011/barofd.1352729,TUR,Çam Ağaçlarında Mantar Hastalığının İzlenmesi için Üçgen Yeşillik İndeksi Analizi: İHA Tabanlı Bir Yaklaşım
20,1232596,10.24011/barofd.1387342,TUR,Ips sexdentatus’un Duyarlılığının Maksimum Entropi (MaxEnt) ile  Modellenmesi
21,1232597,10.24011/barofd.1394942,TUR,Bartın Sökü Yaban Hayatı Geliştirme Sahasının Ornitofaunası
22,1233236,10.53433/yyufbed.1344576,TUR,"Tekirdağ Topraklarından İzole Edilen İki Dileptid Siliyat Türünün (Ciliophora, Litostomatea, Rhynchostomatia) Morfolojik Karakterizasyonu"
23,1233237,10.53433/yyufbed.1373533,TUR,Odun Arısı Xiphydria Prolongata'nın (Hymenoptera: Xiphydriidae) Bağırsak Mikobiyomu: Nadir Mayalar İçin Zengin Bir Kaynak
24,1233239,10.53433/yyufbed.1314716,TUR,Van İli’nde Astragalus L. Cinsine Ait Bazı Endemik Taksonların Taksonomik Özellikleri ve Dağılışları
25,1233725,10.16984/saufenbilder.1390268,ENG,"Myrmecofauna (Hymenoptera, Formicidae) of Gökçeada Island, Türkiye"
26,1238562,10.17341/gazimmfd.1153044,TUR,Yüksek derecede kurum üreten 2B Gazyağı/Hava difüzyon alevleri üzerinde diferansiyel yayılımın ve basıncın etkileri
27,1240629,10.21597/jist.1356367,TUR,Eski ve Yeni Böcek Örneklerinde Farklı DNA İzolasyon Protokollerinin Karşılaştırılması
28,1240631,10.21597/jist.1424706,TUR,Şanlıurfa'da Yayılış Gösteren Bazı Astragalus L. Türlerinin Palinolojik Olarak İncelenmesi
29,1240632,10.21597/jist.1399969,ENG,Abnormalities in Some Odonata Larvae Which Do Not Hinder Development
30,1240814,10.47480/isibted.1494043,TUR,TEK ÜÇGEN SİLİNDİRDEN TÜMLEŞİK ZORLANMIŞ VE DOĞAL TAŞINIM
31,1240815,10.47480/isibted.1494122,TUR,FARKLI GÖZENEKLİLİK VE AÇI DEĞERLERİNE SAHİP GEÇİRGEN AYIRICI PLAKA İLE DAİRESEL BİR SİLİNDİRİN AKIŞ KONTROLÜ
32,1240818,10.47480/isibted.1494159,TUR,FARKLI DELİK GEOMETRİSİNE SAHİP SENTETİK JET AKTÜATÖR DİZİSİ KULLANARAK NACA 0020 HAVA FOLYOSUNUN DURUŞUNUN GECİKTİRİLMESİNE YÖNELİK DENEYSEL ÇALIŞMA
33,1240822,10.47480/isibted.1494487,TUR,YÜKSEK LÜMENLİ IŞIK YAYAN DİYOT DİZİLERİNİN PLAKALI ISI EMİCİLERİ İÇİN GENELLEŞTİRİLMİŞ TERMAL OPTİMİZASYON YÖNTEMİ
34,1240823,10.47480/isibted.1494496,TUR,BEZELYE TANELERİNİN KURUTULMASI: SICAK HAVA KURUTMA KİNETİĞİNİN ÇÖZÜMLENMESİ VE NEM DİFÜZYONU İÇİN MATEMATİKSEL MODELLERİN İNCELENMESİ
35,1240824,10.47480/isibted.1494499,TUR,ÇAPRAZ ÜÇGEN YİVLİ KANALLARDA GEOMETRİK PARAMETRELERİN ISI TRANSFERİ VE AKIŞKAN AKIŞ ÖZELLİKLERİ ÜZERİNDEKİ ETKİSİNİN ARAŞTIRILMASI: HESAPLAMALI BİR ÇALIŞMA
36,1241794,10.31466/kfbd.1400316,TUR,Pestisit Uygulamalarında Kullanılan İçi Dolu Konik Hüzmeli Memelerin Püskürtme Karakteristiklerinin Taguchi Metoduyla Optimizasyonu
37,1242736,10.18615/anadolu.1456609,TUR,"Elma Bahçelerinde Elma İçkurdu ve Kırmızı örümceklere Karşı Kullanılan Bazı İnsektisit ve Akarisitlerin Akdeniz Meyve Sineği, Ceratitis capitata (Diptera:Tephritidae) Üzerinde Etkileri"
38,1242758,10.18615/anadolu.1453157,TUR,Farklı Lokasyonlardan Toplanan Salvia aramiensis Rech. f. Tohumları Üzerine  Önişlem Uygulamalarının Etkisi
39,1242765,10.18615/anadolu.1494763,TUR,Tarla Sarmaşığı (Convolvulus arvensis L.)’nın Bazı Yabancı Otlar ve Test Bitkileri Üzerinde In Vitro Allelopatik Etkisinin Belirlenmesi
40,1243286,,TUR,Etofenproks’un Genotoksik Etkisinin Drosophila melanogaster’de  Değerlendirilmesi
41,1243292,,TUR,Demir Bazlı Manyetik Nanopartiküllerin Genotoksik Etkilerinin Drosophila  melanogaster’de Araştırılması
42,1243654,10.31196/huvfd.1444521,TUR,"Bazı Yabani Kuşların Larinks, Syrinx ve Trakealarının Morfolojik Karşılaştırması"
43,1243761,10.33484/sinopfbd.1401042,TUR,Lineer Olmayan Pantograf Diferansiyel Denklemleri İçin Pell Sıralama Yaklaşımı
44,1244707,10.30728/boron.1415733,TUR,"Daphnia pulex (Leydig, 1860) Üzerindeki Bor Toksisitesinin Öldürücü Konsantrasyonunun (LC50) Probit Model Kullanılarak Belirlenmesi"
45,1245161,10.47495/okufbed.1387185,TUR,Ahmed Cisminde Çukurlu Yüzeyler Kullanmanın Akış Karakteristiklerine Etkisi
46,1245579,10.17341/gazimmfd.1202033,TUR,Elektrikli araçların kablosuz güç aktarım sistemi ile şarj edilmesi için kullanılan farklı transformatör modellerinin sonlu elemanlar yöntemi ile tasarımı ve analizi
47,1246048,10.17776/csj.1348667,ENG,"Northernmost Locality Record of the Near Eastern Fire Salamander, Salamandra infraimmaculata (Martens, 1885) (Amphibia: Salamandridae) in Türkiye"
48,1247299,10.28979/jarnas.1350766,ENG,"Optical and Electrical Characterization of Crystallized M:$WO_3$ (Cu, Fe, Ni) Films in Acidic Medium"
49,1247303,10.28979/jarnas.1405595,ENG,Hydrothermal Synthesis of CuO Nanoparticles: Tailoring Morphology and Particle Size Variations for Enhanced Properties
50,1247312,10.28979/jarnas.1409809,TUR,Potasyum Borhidrürün Formik Asit Katalizörü Varlığındaki Hidrolizi
51,1247783,10.36846/CJAFS.2024.130,TUR,Zeytinde Eşeysel Uyuşmazlık Durumunun Belirlenmesi ve Uyuşmazlık Araştırmalarında Kullanılabilecek Tozlama Yöntemleri
52,1249412,10.18016/ksutarimdoga.vi.1212062,TUR,Seasonal Gene Profiling in Tuz Lake with Regard to Biogeochemical Cycling
53,1249462,10.18016/ksutarimdoga.vi.1332554,TUR,"İstilâcı Yabancı Bitkilerin Girişi ve Yayılmasında Kuş Göçlerinin Muhtemel Rolü: Bir Durum Tespiti, Solanum elaeagnifolium Cav."
54,1249535,10.18016/ksutarimdoga.vi.1280166,ENG,"Freshwater Malacofauna and Distribution of Trabzon, Türkiye"
55,1249683,10.53516/ajfr.1447058,TUR,Liquidambar orientalis Mill. ve Liquidambar styraciflua L. türlerinin polen morfolojisi
56,1249917,10.34248/bsengineering.1436087,ENG,Determination of Suitable Beekeeping Places in Sinop Province (Türkiye) By Weighted Overlay Analysis
57,1252638,10.18016/ksutarimdoga.vi.1313318,TUR,Kura-Aras Nehir Havzası ve Doğu Karadeniz Akarsuları Trichoptera Faunası Üzerine Bir Ön Araştırma
58,1252639,10.18016/ksutarimdoga.vi.1310608,TUR,İngiliz Atlarında Bazı Doğum ve Doğuma İlişkin Özellikler ile Tay Davranışları
59,1253056,10.26833/ijeg.1394363,ENG,Detection of upwelling events in the Caspian Sea using thermal satellite image processing
60,1253420,10.5152/electrica.2023.23080,ENG,A Machine Learning Approach Based on Indoor Target Positioning by Using Sensor Data Fusion and Improved Cosine Similarity
61,1253422,10.5152/electrica.2024.23075,ENG,A Comparison of Ultrasonic and Laser Sensor-Based SLAM Algorithms Applied to Carlike Vehicles
62,1254059,10.35163/bagbahce.1247275,TUR,Türkiye Suyosunları (Algler) Listesi'ne Eklentiler
63,1254062,10.14686/buefad.1199798,TUR,BOBUT Prosedürlerinin Düşük Yetenek Düzeylerindeki Performanslarının Karşılaştırılması: Simülasyon Çalışması ve Özel Gereksinimli Öğrenciler Bağlamında İnceleme
64,1254063,10.14686/buefad.1216673,TUR,Yeni Tip Korona Virüsü Sürecinde Öğrenme Motivasyonunun Çevrimiçi Öğrenme Ortamlarının Kabulü Üzerindeki Etkisi: Bir Yapısal Regresyon Analizi
65,1254090,10.35163/bagbahce.1106321,TUR,Türkiye'nin Tatlısu Suyosunu Florası İçin Yeni Kayıtlar
66,1254347,10.51537/chaos.1396823,ENG,Bio-Inspired Jumping Spider Optimization for Controller Tuning/Parameter Estimation of an Uncertain Aerodynamic MIMO System
67,1254499,10.21205/deufmd.2024267702,TUR,Çalışma Ortamında Çalışma Refahı Farkındalığını Artırma ve Strateji Geliştirme Üzerine Bir Araştırma
68,1254932,10.69601/meandrosmdj.1491677,TUR,Üç Boyutlu Yazıcı ile Üretilen Uygun Fiyatlı ve Kullanışlı Alternatif Videolaringoskop: İlk Adım
69,1255619,10.46309/biodicon.2024.1430985,TUR,"Flos asoka'nın (de Nicéville, [1884]) (Lycaenidae: Theclinae: Arhopalini) Uttar Pradesh, Hindistan'da ilk fotoğraf kanıtı: son doğrulama ve ekolojik içgörüler"
70,1255625,10.46309/biodicon.2024.1353718,TUR,Ağır metal kirliliğinin bir diğer önemli polinatör böcek grubu üzerindeki etkileri: Atsinekleri (Diptera: Tabanidae)
71,1255892,10.12995/bilig.10905.,TUR,Türk Dünyasında Enerji Temelli Bölgeselleşme Çabaları: Türk Devletleri Teşkilatı
72,1256431,10.24925/turjaf.v12i5.821-827.6574,TUR,Kuzey Kıbrıs Türk Cumhuriyeti (KKTC)Tatlısu Göletlerinin Yaz Fitoplanktonu Üzerine İlk İncelemeler
73,1256510,10.31592/aeusbed.1444312,TUR,Bilgisayımsal Düşünme Becerilerinin Oyun Programlama Aracılığıyla Geliştirilmesi: Ortaokul Öğrencileri için Bir Çerçeve
74,1257575,10.17341/gazimmfd.1243603,TUR,Güneş enerjisi kaynaklı absorbsiyonlu soğutma sistemlerinin SF analizi
75,1257582,10.17341/gazimmfd.1249792,TUR,"T5 ve T6 ısıl işlemlerinin Zn-40Al-2Cu-0,1Sr alaşımının yapısal, mekanik ve tribolojik özelliklerine etkilerinin incelenmesi"
76,1257583,10.17341/gazimmfd.1252212,TUR,Büyük girdap benzetimi  analizleri için gerekli ağ çözünürlüğü üzerine bir çalışma
77,1257585,10.17341/gazimmfd.1267017,TUR,Doğal puzolan-esaslı jeopolimer üretiminde mikrodalga kürünün rolü
78,1257602,10.17341/gazimmfd.1277335,TUR,Nötron radyasyondan korunmak için bor katkılı yüzey kaplaması oluşturulması ve karakterizasyonu
79,1257906,10.17341/gazimmfd.1155788,TUR,Dalga boyu altı kalınlığındaki akustik metayüzeyin geometrik parametrelerinin ses yutum performansına etkileri
80,1257910,10.17341/gazimmfd.1270104,TUR,Krank kaydırmalı bir stirling motorunun termodinamik performansının nodal analiz ile incelenmesi
81,1257911,10.17341/gazimmfd.1136022,TUR,Yeşil bina tasarımlarındaki düşey iç boşlukların duman tahliyesi açısından değerlendirilmesi
82,1257916,10.17341/gazimmfd.1223428,TUR,CNTFET VDGA tabanlı ultra düşük güç düşük voltaj yüksek frekanslı filtre uygulamaları
83,1257935,10.17341/gazimmfd.1183999,TUR,Atmosferik basınçlı plazma uygulamasının metal malzeme yüzeylerinin ıslanabilirliği ve yaşlanma davranışı üzerindeki etkisi
84,1258066,121E122,TUR,Zihinsel Aktivitelerin Tanınması için Elektroensefalografi Kanallarının Aktiviteye Özgü Uyumlarının Zamansal Organizasyonuna Dayalı Yeni Yöntemler
85,1258657,119E584,TUR,"Kuantum Patika Hesaplamanın Kompleksite Teorik Temelleri,  Evrensel Kuantum Bilgisayar Modelleri,  Kavram İspat Simülasyon Ve Deneyleri Ile Sayısal Problem Çözme Uygulamaları"
86,1258659,120E488,TUR,Kesin ve Sezgisel Kümeleme Yöntemleri ile Modüler Yazılım Mimarisinin Geri Kazanımı
87,1258776,10.19113/sdufenbed.1426362,TUR,πD^* ¯D^* Üç Mezon Sisteminin Faddeev Denkleminin Sabit Merkez Yaklaşıklığı Yöntemi ile İncelenmesi
88,1258782,10.19113/sdufenbed.1518219,TUR,Yenilenebilir Enerji Kaynaklarını İçeren Optimal Güç Akışı İçin Uygunluk Mesafe Dengesi Tabanlı Üçgenleme Topolojisi Toplama İyileştiricisi
89,1258785,10.19113/sdufenbed.1483911,TUR,Bina İçi Radon Birikimi Üzerine bir Araştırma
90,1259025,10.31796/ogummf.1437602,TUR,BENZO[B]TİYOFEN BAZLI ORGANİK BİLEŞİKLERİN SENTEZİ VE ANOT KATALİZÖRÜ OLARAK HİDRAZİN ELEKTROOKSİDASYON PERFORMANSI
91,1259115,10.17341/gazimmfd.1340123,TUR,Elektronik kart üretiminde hat atama problemi için süreç akışını dikkate alan bütünleşik bir yaklaşım
92,1259512,10.24011/barofd.1435912,TUR,Karacabey Subasar Ormanı Dişbudak Meşcerelerinde Yıllık Döküm Miktarı ve Bu Yolla Ekosisteme Giren Karbon ve Besin Maddesi
93,1259559,10.24925/turjaf.v12i1.22-32.6314,TUR,Türkiye’deki Klasik Hünkâri Güvercinlerinin Tanıtımı ve Morfolojik Olarak Tanımlanması
94,1259641,10.21602/sduarte.1464661,TUR,Sahip Olduğu Teknolojisi Bağlamında Dijital Sanatın Özellikleri
95,1259644,10.21602/sduarte.1462578,TUR,Bir Diyalog Ortamı Olarak Üretken Yapay Zeka: Tasarımda Anlamsal Arayış Sürecinin Temsili
96,1259905,10.54962/ankemderg.1458626,TUR,BATI ANADOLU’DAKİ BAZI YAYGIN KÜÇÜK MEMELİ TÜRLERİNİN ORTOHANTAVİRÜS TAŞIYICILIĞI AÇISINDAN DEĞERLENDİRİLMESİ
97,1260287,10.17482/uumfd.1432823,TUR,NiHARD-4 BEYAZ DÖKME DEMİRİN KATILAŞMA DAVRANIŞININ SİMÜLASYONU VE METALURJİK KARAKTERİZASYONU
98,1260316,10.17482/uumfd.1431634,TUR,BİR OTOMOBİL SALINCAĞININ TOPOLOJİ OPTİMİZASYONU
99,1260372,10.17482/uumfd.1332741,TUR,KONVOY İKİ HAFİF TİCARİ TAŞITIN ARASINDAKİ MESAFENİN YAKIT TÜKETİMİNE ETKİSİNİN SAYISAL İNCELENMESİ
100,1260380,10.17482/uumfd.1309112,TUR,HESAPLAMALI AKIŞKANLAR DİNAMİĞİ İLE AÇIK KANAL AKIMINDA BİTKİ ÖRTÜSÜNÜN AKIM ÖZELLİKLERİNE ETKİSİNİN ANALİZİ
101,1260381,10.17482/uumfd.1325198,TUR,Nötron difüzyon problemleri için paralel ağsız radyal baz fonksiyonu kollokasyon yöntemi
102,1260388,10.17482/uumfd.1292213,TUR,FİZİKSEL PARAMETRELERİN HİDROJEN PEM YAKIT HÜCRESİ PERFORMANSINA ETKİLERİ ÜZERİNE DEĞERLENDİRME
103,1260542,10.58348/denetisim.1504241,TUR,İÇ DENETİM OLGUNLUĞU VE STANDARTLARA UYUM: ÇOK BOYUTLU ÖLÇEKLEME ANALİZİ İLE BİR İNCELEME
104,1260543,10.58348/denetisim.1504346,TUR,ISO 56002 İNOVASYON YÖNETİM SİSTEMİ KAPSAMINDA KÜLTÜREL BOYUTLAR İLE ÖRGÜTSEL KÜLTÜR ETKİLEŞİMİ
105,1260628,10.21597/jist.1399068,ENG,"Ultra-thin Polarization Converter Using Single Layer Metasurface for X-, Ku-, and K-Band Applications"
106,1260645,10.21597/jist.1440098,TUR,Orta Karadeniz’den Yakalanan Kurbağa Balığının (Uranoscopus scaber) Bazı Popülasyon Parametreleri
107,1260652,10.21597/jist.1467666,ENG,"Melanoma Cancer Evaluation with ADME and Molecular Docking Analysis, DFT Calculations of (E)-methyl 3-(1-(4-methoxybenzyl)-2,3-dioxoindolin-5-yl)-acrylate Molecule"
108,1260819,10.18596/jotcsa.1395875,ENG,C/N/CeO2/Alpha-Fe2O3 Doped Mesoporous Carbon as A Photocatalyst Material for Hydrogen Gas Production by Water Splitting Method
109,1260846,10.18596/jotcsa.1425866,ENG,Half-metallic ferromagnetism in Fe-doped and Zn-vacancy defected ZnSe: First-principles investigation
110,1261482,10.12658/E0002,TUR,ChatCPT'nin Bilimsel Yazım Üzerindeki Etkisi
111,1261494,10.34088/kojose.1228645,ENG,Dynamics of Hot Exciton Relaxation in Conjugated Polymer Chain
112,1261504,10.5336/ophthal.2022-92120,TUR,"Yırtıklı Retina Dekolmanında Pnömatik Retinopeksinin Tedavi Sonuçları, Başarıyı Etkileyen Faktörler ve Diğer Göz Takiplerinin Önemi: Olgu Serisi"
113,1261505,10.34088/kojose.1126357,ENG,Energy and Exergy Analysis of Heat Recovery from the Accumulating Tanks of a Central Heating System by Employing a Sample of Thermoelectric Generators
114,1261517,10.34088/kojose.1267986,ENG,Development of a New Method to Optimize Operations of an Existing Crude Unit
115,1261536,10.18185/erzifbed.1465583,TUR,Sinter Fabrikası Dairesel Soğutucu Baca Gazından Enerji Üretimi
116,1261544,10.18185/erzifbed.1408358,TUR,Kısıtlı Minimal Süpersimetri Tip-I Seesaw Modelinde Tau’nun Lepton-Gamma Bozunma Lepton Lezzeti İhlali
117,1261545,10.18185/erzifbed.1517346,TUR,Süperkapasitörlerin Elektrokimyasal Performansının İyileştirilmesi için B-N-Katkılı Karbon Nanotüpler üzerine Tungsten Disülfürün Sentezi
118,1261753,10.17780/ksujes.1428558,TUR,GÖL ORTAMINDA OLUŞMUŞ BİTÜMLÜ KİLTAŞI ÇÖKELLERİNDE HAVZANIN PALEO-TUZLULUK İNCELEMELERİ: DİYATOME TÜRÜ ALGLERLE TUZLULUK ARASINDAKİ İLİŞKİ
119,1261768,10.17780/ksujes.1457598,TUR,FIRÇASIZ DC MOTORUNUN HIZ KONTROLÜNDE PI KATSAYILARININ  GRİ KURT OPTİMİZASYONU İLE BELİRLENMESİ VE FPGA UYGULAMASI
120,1261837,10.35377/saucis...1414115,ENG,Predictive Model for Incipient Faults in Oil-Filled Transformers
121,1262023,123E017,TUR,Spectre Saldırılarının Önden Yürütüm Yöntemi Kullanılarak Minimum Performans Kaybıyla Önlenmesi
122,1262233,10.38137/vftd.1432171,TUR,ŞEBEKE SULARINDA LEGIONELLA PNEUMOPHILA VARLIĞI VE HALK SAĞLIĞI AÇISINDAN ÖNEMİ
123,1262427,,TUR,Agaricus bisporus’ta Görüntü Tabanlı Hastalık Sınıflandırması için Kapsamlı Veri Seti
124,1262569,120F341,TUR,Modern Nükleer Kuvvetler ile Hafif Çekirdeklerin Nükleer Örgü Simülasyonları
125,1262656,10.35208/ert.1385026,ENG,Thermal analysis of St. John's Wort wastes and biochars: A study of combustion characteristics and kinetics
126,1263071,121F468,TUR,Laser Yazma Yöntemi Ile Elmasta Nv- Renk Merkezlerinin Oluşturulması Ve Gözlenmesi
127,1263179,10.4274/tpd.galenos.2023.20982,TUR,Türkiye’nin Kuzeybatısındaki Bursa ve Kütahya İllerinden Toplanan Yarasaların (Chiroptera) Akarları ve Keneleri
128,1263214,10.4274/tpd.galenos.2023.53824,TUR,"Protistan Entomopatojen Adelina mesnili Perez’in (Coccidia: Adeleidae) Türkiye’deki Kuru Meyve Güvesi Plodia interpunctella (Hübner) (Lepidoptera: Pyralidae) Popülasyonlarında İlk Kaydı, Dağılımı ve Enfeksiyon Oranları"
129,1264034,119F354,TUR,Nükleik Asitlerin Geometrik/Topolojik Kısıtlar Altında Dinamiği
130,1264107,10.36306/konjes.1496688,ENG,THEORETICAL INVESTIGATION FOR YTTERBIUM EFFECT ON RADIATION SHIELDING CHARACTERISTICS OF 50Bi2O3-15Li2O-15PbO-(20-X)B2O3-Yb2O3 BORATE GLASSES
131,1264108,10.36306/konjes.1473068,ENG,ESTIMATING THE SOLAR EXERGY POTENTIAL OF SURFACES WITH DIFFERENT  TILT ANGLES
132,1264109,10.36306/konjes.1507600,ENG,ADVANCING MEMORY DENSITY: A NOVEL DESIGN FOR MULTIPLE-BIT-PER-CELL PHASE CHANGE MEMORY
133,1264117,10.17714/gumusfenbil.1261726,TUR,Çok katmanlı cam sistemlerinin ısıl performansının farklı parametrelere bağlı sayısal ve deneysel incelenmesi
134,1264127,10.17714/gumusfenbil.1439901,TUR,V3Ge bileşiğinin fiziksel özelliklerinin ve süperiletkenlik mekanizmasının teorik olarak incelenmesi
135,1264194,120Z743,TUR,"Molekül İçi Küme Yaklaşımı Uygulanmış Möller-Plesset Pertürbasyon Teorisi Yöntemlerinin Geliştirilmesi, Cpu ve Gpu İçin Paralel Programlanması ve Boya Bazlı Foto-Elektrokimyasal Güneş Hücresine Uygulanması"
136,1264592,10.30794/pausbed.1477485,TUR,BİRİNCİ DÜNYA HARBİ ÖNCESİ BÜYÜK DEVLETLERİN TAKİP ETTİĞİ AKDENİZ SİYASETİNİN DEMİRYOLU İMTİYAZI VE PETROL AÇISINDAN DEĞERLENDİRİLMESİ
137,1264639,10.55730/1300-0632.4096,ENG,A single operational amplifier-based grounded meminductor mutators and their applications
138,1264824,10.12714/egejfas.41.3.01,TUR,G20 ülkeleri içinde 18 ülkenin okyanus ve deniz sağlığı performanslarının analizi: CEBM tabanlı TOPSIS yöntemi ile bir uygulama
139,1264825,10.12714/egejfas.41.3.02,TUR,"Mystus vittatus (Hamilton, 1822)’un doğal ve kültür ortamındaki boy-ağırlık ilişkisi ve kondisyon faktörü"
140,1264826,10.12714/egejfas.41.3.03,TUR,Bangladeş'in Chattogram ve Cox's Bazar bölgesindeki çamur yengeci (Scylla serrata) ve ortam çamurundaki ağır metal konsantrasyonu
141,1264827,10.12714/egejfas.41.3.04,TUR,Ulva sp.'nin aktif bileşiklerinin elde edilmesi için ekstraksiyon koşullarının optimizasyonu
142,1264828,10.12714/egejfas.41.3.05,TUR,Potansiyel bisphenol-A ikameleri sucul yaşam için gerçekten güvenli mi? Birincil üreticiler üzerindeki etkisi
143,1264829,10.12714/egejfas.41.3.06,TUR,"Entomoneis parikhani sp.nov., Aras Nehri (İran)’nden yeni bir diatom (Entomoneidaceae, Bacillariophyta)"
144,1264830,10.12714/egejfas.41.3.07,TUR,İskenderun Körfezi kıyı alanlarında sıcaklık ve klorofil-a için uydu ve model temelli veri setlerinin temsil yeteneği üzerine bir değerlendirme
145,1264831,10.12714/egejfas.41.3.08,TUR,"Kurbağa balığında (Chaunax abei Le Danois, 1978) Suruga Körfezi’ndeki (Japonya) tek gözlülük (tek taraflı anoftalmi)"
146,1264832,10.12714/egejfas.41.3.09,TUR,Türkiye kıyılarındaki denizel dinoflagellatların kontrol listesi
147,1264833,10.12714/egejfas.41.3.10,TUR,"Akdeniz ve Karadeniz balıklarının yaş, büyüme ve ölüm çalışmalarının sistematik bir derlemesi"
148,1265120,10.26650/ASE20241353730,ENG,Lakes of Turkey: Comprehensive Review of Lake Çıldır
149,1265310,10.35674/kent.1490925,TUR,Akıllı Şehirler için Üretken Yapay Zeka Kavramsal Çerçevesi
150,1265500,10.58600/eurjther2009,ENG,Stress-Responsive MAPK Signaling Pathway with Proliferation and Apoptosis in the Rat Testis After 2100 MHz Radiofrequency Radiation Exposure
151,1265540,10.47115/bsagriculture.1519668,ENG,On Various Soil Moisture Measurement Techniques Available in the Literature
152,1265552,10.34248/bsengineering.1515784,ENG,NOVEL AND LOW-COST TECHNIQUES FOR EXTENDING THE ETCH CAPABILITIES OF AN INDUCTIVELY COUPLED PLASMA ETCH TOOL THAT HAS CLAMP FINGERS FOR CLAMPING 4- INCH DIAMETER WAFERS
153,1265553,10.34248/bsengineering.1522745,ENG,ENERGY CONVERSION BY HELICAL HYDROKINETIC TURBINE IN A PIPE
154,1265555,10.34248/bsengineering.1464381,ENG,COMPRESSIVE STRENGTH ANALYSIS OF ADDITIVELY MANUFACTURED ZIRCONIA HONEYCOMB SANDWICH CERAMIC PARTS WITH DIFFERENT CELLULAR STRUCTURES
155,1265569,10.34248/bsengineering.1463296,TUR,BENT KAPAĞI ALTINDAN GEÇEN AKIMIN OLUŞTURDUĞU HİDROLİK SIÇRAMANIN KONUMUNUN DENEYSEL VE NÜMERİK OLARAK BELİRLENMESİ
156,1265573,10.34248/bsengineering.1508116,ENG,FAST AND THERMAL NEUTRON REMOVAL CROSS-SECTION FOR CERAMIC GLASS ALUMINUM OXYNITRIDE
157,1265690,10.31466/kfbd.1416995,TUR,"Yüksek Enerjili Patlayıcı Moleküllerin Yapısal, Spektroskopik ve Elektronik Özelliklerinin Ab-initio Çalışması: YFT/TD-YFT Hesaplamaları"
158,1265824,10.18393/ejss.1181205,ENG,Seasonal fluctuations in phthalates’ contamination in pond water: A case study
159,1265923,10.26650/ASE20231388480,ENG,"Bio-indicator Bacteria Levels in Riva Stream, an Important Stream in İstanbul, Türkiye"
160,1265972,10.26650/ASE20241434217,ENG,Revealing Mucilage Event-Linked Community Composition in the Sea of Marmara from eDNA Metabarcoding Data
